sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference,game_type
football,South Carolina,Alabama,ABC,7.8,2025,0,TV Media Blog,TV Media Blog chart 8bjm9; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Clemson,Penn State,ABC,7.604,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Pinstripe Bowl; Saturday 12PM ET,0,0,0,Unknown,postseason
football,Missouri,Alabama,ABC,7.0,2025,0,TV Media Blog,TV Media Blog chart 5FsRY; Saturday 12PM ET,0,0,0,Unknown,regular_season
football,LSU,Texas A&M,ABC,6.8,2025,0,TV Media Blog,TV Media Blog chart 8bjm9; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Auburn,Georgia,ABC,6.7,2025,0,TV Media Blog,TV Media Blog chart 5FsRY; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Oklahoma,Ole Miss,ABC,6.6,2025,0,TV Media Blog,TV Media Blog chart 8bjm9; Saturday 12PM ET,0,0,0,Unknown,regular_season
football,Ole Miss,Tulane,TNT,6.2,2025,0,TV Media Blog,TV Media Blog chart bi3yR; CFP First Round; Saturday 3:30PM ET,0,0,0,Unknown,postseason
football,Penn State,Indiana,FOX,6.025,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Missouri,Virginia,ABC,5.966,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Gator Bowl; Saturday 7:30PM ET,0,0,1,Unknown,postseason
football,Vanderbilt,LSU,ABC,5.9,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Oregon,Indiana,CBS,5.59,2025,0,TV Media Blog,TV Media Blog chart 5FsRY; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Illinois,Tennessee,ESPN,5.384,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Music City Bowl; Tuesday 5:30PM ET,0,0,0,Unknown,postseason
football,Iowa,Oregon,CBS,5.37,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Illinois,Ohio State,FOX,5.276,2025,0,TV Media Blog,TV Media Blog chart 5FsRY; Saturday 12PM ET,0,0,0,Unknown,regular_season
football,TCU,USC,ESPN,4.92,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Alamo Bowl; Tuesday 9PM ET,0,0,1,Unknown,postseason
football,Kentucky,Ole Miss,ABC,4.8,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Notre Dame,USC,NBC,4.751,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Vanderbilt,Iowa,ESPN,4.595,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Reliaquest Bowl; Wednesday 12PM ET,0,0,0,Unknown,postseason
football,Minnesota,New Mexico,ESPN,4.429,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Rate Bowl; Friday 4:30PM ET,0,0,0,Unknown,postseason
football,Oregon,James Madison,TNT,4.358,2025,0,TV Media Blog,TV Media Blog chart bi3yR; CFP First Round; Saturday 7:30PM ET,0,0,1,Unknown,postseason
football,Michigan,Washington,FOX,4.321,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Iowa State,Iowa,FOX,4.278,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Wisconsin,Ohio State,CBS,4.0,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Washington,Boise State,ABC,3.786,2025,0,TV Media Blog,TV Media Blog chart bi3yR; LA Bowl; Saturday 8PM ET,0,0,1,Unknown,postseason
football,Tennessee,Vanderbilt,ESPN,3.755,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Texas,San Jose State,ABC,3.7,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Cincinnati,Navy,ESPN,3.435,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Liberty Bowl; Friday 4:30PM ET,0,0,0,Unknown,postseason
football,Miami,Louisville,ESPN,3.284,2025,0,TV Media Blog,TV Media Blog chart r6lXb; Friday 7:00PM ET,0,0,1,Unknown,regular_season
football,UTSA,FIU,ESPN,3.132,2025,0,TV Media Blog,TV Media Blog chart bi3yR; First Responder Bowl; Friday 8PM ET,0,0,1,Unknown,postseason
football,Vanderbilt,Missouri,ESPN,3.1,2025,0,TV Media Blog,TV Media Blog chart 8bjm9; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,Utah,Nebraska,ESPN,3.022,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Las Vegas Bowl; Wednesday 3:30PM ET,0,0,0,Unknown,postseason
